File,Line,Event
Mage/Sales/Model/Resource/Order/Abstract.php,314,$this->_eventPrefix . '_save_attribute_after
Mage/Sales/Model/Resource/Order/Collection/Abstract.php,61,$this->_eventPrefix . '_set_sales_order
Mage/Sales/Model/Resource/Quote/Address/Collection.php,82,$this->_eventPrefix.'_load_after
Mage/Sales/Model/Resource/Quote/Item/Collection.php,187,prepare_catalog_product_collection_prices
Mage/Sales/Model/Resource/Quote/Item/Collection.php,191,sales_quote_item_collection_products_after_load
Mage/Sales/Model/Resource/Sale/Collection.php,154,sales_sale_collection_query_before
Mage/Sales/Model/Convert/Quote.php,57,sales_convert_quote_to_order
Mage/Sales/Model/Convert/Quote.php,75,sales_convert_quote_address_to_order
Mage/Sales/Model/Convert/Quote.php,95,sales_convert_quote_address_to_order_address
Mage/Sales/Model/Convert/Quote.php,114,sales_convert_quote_payment_to_order_payment
Mage/Sales/Model/Convert/Quote.php,154,sales_convert_quote_item_to_order_item
Mage/Sales/Model/Convert/Order.php,53,sales_convert_order_to_quote
Mage/Sales/Model/Quote.php,826,sales_quote_remove_item
Mage/Sales/Model/Quote.php,874,sales_quote_add_item
Mage/Sales/Model/Quote.php,957,sales_quote_product_add_after
Mage/Sales/Model/Quote.php,1245,$this->_eventPrefix . '_collect_totals_before
Mage/Sales/Model/Quote.php,1310,$this->_eventPrefix . '_collect_totals_after
Mage/Sales/Model/Quote.php,1680,$this->_eventPrefix . '_merge_before
Mage/Sales/Model/Quote.php,1723,$this->_eventPrefix . '_merge_after
Mage/Sales/Model/Service/Quote.php,186,checkout_type_onepage_save_order
Mage/Sales/Model/Service/Quote.php,191,sales_model_service_quote_submit_success
Mage/Sales/Model/Service/Quote.php,207,sales_model_service_quote_submit_failure
Mage/Sales/Model/Service/Quote.php,210,sales_model_service_quote_submit_after
Mage/Sales/Model/Order.php,1094,sales_order_place_before
Mage/Sales/Model/Order.php,1139,order_cancel_after
Mage/Sales/Model/Order/Payment.php,277,sales_order_payment_place_start
Mage/Sales/Model/Order/Payment.php,356,sales_order_payment_place_end
Mage/Sales/Model/Order/Payment.php,394,sales_order_payment_capture
Mage/Sales/Model/Order/Payment.php,535,sales_order_payment_pay
Mage/Sales/Model/Order/Payment.php,553,sales_order_payment_cancel_invoice
Mage/Sales/Model/Order/Payment.php,603,sales_order_payment_void
Mage/Sales/Model/Order/Payment.php,691,sales_order_payment_refund
Mage/Sales/Model/Order/Payment.php,797,sales_order_payment_cancel_creditmemo
Mage/Sales/Model/Order/Payment.php,825,sales_order_payment_cancel
Mage/Sales/Model/Order/Invoice.php,418,sales_order_invoice_pay
Mage/Sales/Model/Order/Invoice.php,488,sales_order_invoice_cancel
Mage/Sales/Model/Order/Invoice.php,684,sales_order_invoice_register
Mage/Sales/Model/Order/Item.php,512,sales_order_item_cancel
Mage/Sales/Model/Order/Payment/Transaction.php,417,$this->_eventPrefix . '_load_by_txn_id_before
Mage/Sales/Model/Order/Payment/Transaction.php,443,$this->_eventPrefix . '_load_by_txn_id_after
Mage/Sales/Model/Order/Creditmemo.php,461,sales_order_creditmemo_refund
Mage/Sales/Model/Order/Creditmemo.php,508,sales_order_creditmemo_cancel
Mage/Sales/Model/Quote/Payment.php,133,$this->_eventPrefix . '_import_data_before
Mage/Sales/Model/Quote/Item.php,300,sales_quote_item_qty_set_after
Mage/Sales/Model/Quote/Item.php,404,sales_quote_item_set_product
Mage/Sales/Model/Quote/Address.php,955,$this->_eventPrefix . '_collect_totals_before
Mage/Sales/Model/Quote/Address.php,959,$this->_eventPrefix . '_collect_totals_after
Mage/Sales/Model/Quote/Address/Total/Discount.php,80,sales_quote_address_discount_item
Mage/Sales/Model/Quote/Address/Total/Discount.php,111,sales_quote_address_discount_item
Mage/Sales/Model/Quote/Config.php,36,sales_quote_config_get_product_attributes
Mage/Sales/Model/Observer.php,52,clear_expired_quotes_before
Mage/Checkout/controllers/MultishippingController.php,344,checkout_controller_multishipping_shipping_post
Mage/Checkout/controllers/MultishippingController.php,545,checkout_multishipping_controller_success_action
Mage/Checkout/controllers/CartController.php,205,checkout_cart_add_product_complete
Mage/Checkout/controllers/CartController.php,346,checkout_cart_update_item_complete
Mage/Checkout/controllers/OnepageController.php,243,checkout_onepage_controller_success_action
Mage/Checkout/controllers/OnepageController.php,387,checkout_controller_onepage_save_shipping_method
Mage/Checkout/Helper/Data.php,279,checkout_allow_guest
Mage/Checkout/Model/Cart.php,296,checkout_cart_product_add_after
Mage/Checkout/Model/Cart.php,396,checkout_cart_update_items_before
Mage/Checkout/Model/Cart.php,437,checkout_cart_update_items_after
Mage/Checkout/Model/Cart.php,460,checkout_cart_save_before
Mage/Checkout/Model/Cart.php,470,checkout_cart_save_after
Mage/Checkout/Model/Cart.php,605,checkout_cart_product_update_after
Mage/Checkout/Model/Session.php,111,custom_quote_process
Mage/Checkout/Model/Session.php,152,checkout_quote_init
Mage/Checkout/Model/Session.php,201,load_customer_quote_before
Mage/Checkout/Model/Session.php,362,checkout_quote_destroy
Mage/Checkout/Model/Cart/Api.php,174,checkout_type_onepage_save_order_after
Mage/Checkout/Model/Cart/Api.php,184,checkout_submit_all_after
Mage/Checkout/Model/Type/Onepage.php,790,checkout_type_onepage_save_order_after
Mage/Checkout/Model/Type/Onepage.php,832,checkout_submit_all_after
Mage/Checkout/Model/Type/Multishipping.php,278,checkout_type_multishipping_set_shipping_items
